CODITEM,ITEM,LINEA,ANIO,SEMANA,DEMANDA,DEMANDA_T_1,DEMANDA_T_2,MEDIA_MOVIL_4,STD_4,ES_CRITICO,STOCK_MINIMO
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,5,14.0,35.0,70.0,35.5,24.55605831561735,True,89
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,5,2.0,10.0,2.0,7.5,6.8068592855540455,True,19
30451,"NEPLO 1/2"" X 6 CM",AAPP,2025,5,14.0,19.0,10.0,15.75,4.645786621588784,True,39
30452,"NEPLO 1/2"" X 10 CM",AAPP,2025,5,7.0,4.0,7.0,5.75,1.5,True,14
30469,"BUSHING ROSCABLE 3/4"" A 1/2""",AAPP,2025,5,9.0,15.0,3.0,7.75,5.5,True,19
30512,TEFLON 19MM*02MM*15M,AAPP,2025,5,7.0,4.0,2.0,5.5,3.1091263510296048,True,14
AAPP-007,"TEE DE 3/4"" A 1/2""",AAPP,2025,5,1.0,5.0,2.0,4.25,3.593976442141304,True,11
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,5,4.0,4.0,7.0,4.0,2.12,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,5,4.0,6.0,7.0,5.75,1.09,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,5,4.0,7.0,8.0,6.0,1.58,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,5,2.0,9.0,4.0,5.25,2.59,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,5,5.0,7.0,6.0,6.25,0.83,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,5,4.0,7.0,6.0,5.0,1.58,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,5,8.0,3.0,6.0,6.5,2.29,True,15
30372,"CODOS DE 2"" X 45",AASS,2025,6,2.0,2.0,9.0,10.0,11.803954139750516,True,25
30373,"CODOS DE 2"" X90",AASS,2025,6,2.0,4.0,21.0,14.25,13.524668819112232,True,36
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,6,3.0,2.0,10.0,4.25,3.862210075418822,True,11
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,6,8.0,4.0,4.0,5.75,1.79,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,6,2.0,4.0,6.0,4.75,1.92,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,6,4.0,4.0,7.0,5.75,1.79,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,6,1.0,2.0,9.0,4.0,3.08,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,6,2.0,5.0,7.0,5.0,1.87,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,6,2.0,4.0,7.0,4.75,1.92,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,6,10.0,8.0,3.0,6.75,2.59,True,15
30369,"TUBOS DE 2""",AASS,2025,7,2.0,3.0,2.0,4.0,3.366501646120693,True,10
30371,"TUBOS DE 4"" DESAGUE",AASS,2025,7,5.0,3.0,3.0,3.25,1.2583057392117918,True,8
30372,"CODOS DE 2"" X 45",AASS,2025,7,6.0,2.0,2.0,4.75,3.403429642777021,True,12
30373,"CODOS DE 2"" X90",AASS,2025,7,2.0,2.0,4.0,7.25,9.215023964519393,True,18
30378,"REJILLA CROMADA DE 2""",AASS,2025,7,7.0,14.0,14.0,9.0,6.27162924074226,True,22
30388,"YEE 4""",AASS,2025,7,6.0,3.0,1.0,3.5,2.0816659994661326,True,9
30397,"SIFON DE 2""",AASS,2025,7,5.0,10.0,2.0,6.25,3.5,True,16
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,7,55.0,14.0,35.0,43.5,24.33789911502908,True,109
30414,"CODO ROSCABLE 3/4"" X 90",AAPP,2025,7,5.0,1.0,4.0,3.25,1.707825127659933,True,8
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,7,28.0,3.0,2.0,10.75,12.0381338531629,True,27
30451,"NEPLO 1/2"" X 6 CM",AAPP,2025,7,27.0,14.0,19.0,17.5,7.32575365861197,True,44
30452,"NEPLO 1/2"" X 10 CM",AAPP,2025,7,5.0,7.0,4.0,5.75,1.5,True,14
30469,"BUSHING ROSCABLE 3/4"" A 1/2""",AAPP,2025,7,8.0,9.0,15.0,8.75,4.924428900898052,True,22
30512,TEFLON 19MM*02MM*15M,AAPP,2025,7,5.0,7.0,4.0,4.5,2.0816659994661326,True,11
AAPP-007,"TEE DE 3/4"" A 1/2""",AAPP,2025,7,5.0,1.0,5.0,3.25,2.0615528128088303,True,8
AAPP-010,"NEPLO PERDIDO 1/2""",AAPP,2025,7,2.0,4.0,9.0,8.0,6.683312551921141,True,20
AAPP-011,"UNION DE 1/2""",AAPP,2025,7,30.0,2.0,1.0,11.25,13.450526631573451,True,28
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,7,5.0,8.0,4.0,5.25,1.64,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,7,4.0,2.0,4.0,4.0,1.41,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,7,9.0,4.0,4.0,6.0,2.12,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,7,6.0,1.0,2.0,4.5,3.2,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,7,5.0,2.0,5.0,4.75,1.79,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,7,7.0,2.0,4.0,5.0,2.12,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,7,5.0,10.0,8.0,6.5,2.69,True,15
30388,"YEE 4""",AASS,2025,8,2.0,6.0,3.0,3.0,2.160246899469287,True,8
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,8,14.0,55.0,14.0,29.5,19.672315572906,True,74
30414,"CODO ROSCABLE 3/4"" X 90",AAPP,2025,8,5.0,5.0,1.0,3.75,1.8929694486000912,True,9
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,8,11.0,28.0,3.0,11.0,12.027745701779144,True,28
30451,"NEPLO 1/2"" X 6 CM",AAPP,2025,8,8.0,27.0,14.0,17.0,8.04155872120988,True,42
30452,"NEPLO 1/2"" X 10 CM",AAPP,2025,8,12.0,5.0,7.0,7.0,3.559026084010437,True,18
30469,"BUSHING ROSCABLE 3/4"" A 1/2""",AAPP,2025,8,4.0,8.0,9.0,9.0,4.546060565661952,True,22
30512,TEFLON 19MM*02MM*15M,AAPP,2025,8,3.0,5.0,7.0,4.75,1.707825127659933,True,12
AAPP-001,UNION UNIVERSAL 3/4 ROSCABLE,AAPP,2025,8,3.0,8.0,2.0,5.5,3.5118845842842465,True,14
AAPP-005,"UNION UNIVERSAL 1/2""",AAPP,2025,8,2.0,6.0,4.0,5.25,2.98607881119482,True,13
AAPP-007,"TEE DE 3/4"" A 1/2""",AAPP,2025,8,2.0,5.0,1.0,3.25,2.0615528128088303,True,8
AAPP-010,"NEPLO PERDIDO 1/2""",AAPP,2025,8,50.0,2.0,4.0,16.25,22.69177530883528,True,41
AAPP-011,"UNION DE 1/2""",AAPP,2025,8,1.0,30.0,2.0,8.5,14.341083176199302,True,21
AAPP-046,"TUBO DE 3/4"" DE AGUA FRÍA- ROSCABLE - PLOMA",AAPP,2025,8,7.0,2.0,2.0,5.25,3.947573094109004,True,13
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,8,6.0,5.0,8.0,5.75,1.48,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,8,6.0,4.0,2.0,4.0,1.41,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,8,4.0,9.0,4.0,5.25,2.17,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,8,5.0,6.0,1.0,3.5,2.06,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,8,6.0,5.0,2.0,4.5,1.5,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,8,3.0,7.0,2.0,4.0,1.87,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,8,5.0,5.0,10.0,7.0,2.12,True,15
30372,"CODOS DE 2"" X 45",AASS,2025,9,11.0,6.0,2.0,5.25,4.272001872658764,True,13
30373,"CODOS DE 2"" X90",AASS,2025,9,15.0,2.0,2.0,5.75,6.238322424070968,True,14
30378,"REJILLA CROMADA DE 2""",AASS,2025,9,5.0,7.0,14.0,10.0,4.69041575982343,True,25
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,9,41.0,14.0,55.0,31.0,20.445048300260872,True,78
30414,"CODO ROSCABLE 3/4"" X 90",AAPP,2025,9,4.0,5.0,5.0,3.75,1.8929694486000912,True,9
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,9,24.0,11.0,28.0,16.5,11.561430130683084,True,41
30451,"NEPLO 1/2"" X 6 CM",AAPP,2025,9,15.0,8.0,27.0,16.0,7.958224257542215,True,40
30452,"NEPLO 1/2"" X 10 CM",AAPP,2025,9,2.0,12.0,5.0,6.5,4.203173404306164,True,16
30469,"BUSHING ROSCABLE 3/4"" A 1/2""",AAPP,2025,9,12.0,4.0,8.0,8.25,3.304037933599834,True,21
30512,TEFLON 19MM*02MM*15M,AAPP,2025,9,13.0,3.0,5.0,7.0,4.320493798938574,True,18
AAPP-001,UNION UNIVERSAL 3/4 ROSCABLE,AAPP,2025,9,4.0,3.0,8.0,4.25,2.629955639676583,True,11
AAPP-005,"UNION UNIVERSAL 1/2""",AAPP,2025,9,6.0,2.0,6.0,4.5,1.914854215512676,True,11
AAPP-009,"NEPLO 3/4"" X 10 CM",AAPP,2025,9,2.0,8.0,4.0,4.75,2.5,True,12
AAPP-011,"UNION DE 1/2""",AAPP,2025,9,4.0,1.0,30.0,9.25,13.889444433333775,True,23
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,9,5.0,6.0,5.0,6.0,1.22,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,9,7.0,6.0,4.0,4.75,1.92,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,9,5.0,4.0,9.0,5.5,2.06,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,9,3.0,5.0,6.0,3.75,1.92,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,9,7.0,6.0,5.0,5.0,1.87,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,9,3.0,3.0,7.0,3.75,1.92,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,9,5.0,5.0,5.0,6.25,2.17,True,15
30371,"TUBOS DE 4"" DESAGUE",AASS,2025,10,1.0,5.0,3.0,3.0,1.632993161855452,True,8
30372,"CODOS DE 2"" X 45",AASS,2025,10,18.0,11.0,6.0,9.25,6.898067362191625,True,23
30373,"CODOS DE 2"" X90",AASS,2025,10,15.0,15.0,2.0,8.5,7.505553499465136,True,21
30388,"YEE 4""",AASS,2025,10,3.0,2.0,6.0,3.5,1.7320508075688774,True,9
30389,YEE 4A2,AASS,2025,10,3.0,5.0,2.0,3.5,1.2909944487358056,True,9
30397,"SIFON DE 2""",AASS,2025,10,4.0,5.0,10.0,5.25,3.4034296427770228,True,13
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,10,7.0,41.0,14.0,29.25,22.573952541221782,True,73
30414,"CODO ROSCABLE 3/4"" X 90",AAPP,2025,10,8.0,4.0,5.0,5.5,1.7320508075688772,True,14
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,10,2.0,24.0,11.0,16.25,11.954775893619532,True,41
30512,TEFLON 19MM*02MM*15M,AAPP,2025,10,4.0,13.0,3.0,6.25,4.573474244670748,True,16
AAPP-001,UNION UNIVERSAL 3/4 ROSCABLE,AAPP,2025,10,2.0,4.0,3.0,4.25,2.629955639676583,True,11
AAPP-006,"TEE DE 3/4""",AAPP,2025,10,3.0,5.0,3.0,3.0,1.632993161855452,True,8
AAPP-009,"NEPLO 3/4"" X 10 CM",AAPP,2025,10,2.0,2.0,8.0,4.0,2.8284271247461903,True,10
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,10,5.0,5.0,6.0,5.25,0.43,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,10,4.0,7.0,6.0,5.25,1.3,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,10,1.0,5.0,4.0,4.75,2.86,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,10,10.0,3.0,5.0,6.0,2.55,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,10,2.0,7.0,6.0,5.0,1.87,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,10,6.0,3.0,3.0,4.75,1.79,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,10,7.0,5.0,5.0,5.5,0.87,True,15
30372,"CODOS DE 2"" X 45",AASS,2025,11,5.0,18.0,11.0,10.0,5.944184833375668,True,25
30373,"CODOS DE 2"" X90",AASS,2025,11,6.0,15.0,15.0,9.5,6.557438524302001,True,24
30378,"REJILLA CROMADA DE 2""",AASS,2025,11,3.0,5.0,7.0,7.25,4.7871355387816905,True,18
30390,REDUCTORES DE 4 A 2,AASS,2025,11,13.0,2.0,1.0,4.75,5.560275772537426,True,12
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,11,25.0,7.0,41.0,21.75,14.818344486930156,True,54
30414,"CODO ROSCABLE 3/4"" X 90",AAPP,2025,11,4.0,8.0,4.0,5.25,1.892969448600091,True,13
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,11,2.0,2.0,24.0,9.75,10.404326023342406,True,24
30435,UNION ROSCABLE 3/4,AAPP,2025,11,4.0,2.0,6.0,3.5,1.9148542155126764,True,9
30491,"LLAVE DE PASO DE 1/2""",AAPP,2025,11,2.0,5.0,6.0,7.5,6.557438524302,True,19
30512,TEFLON 19MM*02MM*15M,AAPP,2025,11,5.0,4.0,13.0,6.25,4.573474244670748,True,16
AAPP-005,"UNION UNIVERSAL 1/2""",AAPP,2025,11,1.0,6.0,2.0,3.75,2.6299556396765835,True,9
AAPP-010,"NEPLO PERDIDO 1/2""",AAPP,2025,11,5.0,50.0,2.0,15.25,23.20021551624036,True,38
AAPP-011,"UNION DE 1/2""",AAPP,2025,11,2.0,4.0,1.0,9.25,13.889444433333775,True,23
AAPP-046,"TUBO DE 3/4"" DE AGUA FRÍA- ROSCABLE - PLOMA",AAPP,2025,11,6.0,7.0,2.0,4.25,2.6299556396765835,True,11
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,11,3.0,5.0,5.0,4.75,1.09,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,11,4.0,4.0,7.0,5.25,1.3,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,11,3.0,1.0,5.0,3.25,1.48,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,11,2.0,10.0,3.0,5.0,3.08,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,11,8.0,2.0,7.0,5.75,2.28,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,11,3.0,6.0,3.0,3.75,1.3,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,11,2.0,7.0,5.0,4.75,1.79,True,15
30372,"CODOS DE 2"" X 45",AASS,2025,12,6.0,5.0,18.0,10.0,5.944184833375668,True,25
30375,CODO DE 3 X 90,AASS,2025,12,2.0,9.0,2.0,3.75,3.5,True,9
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,12,16.0,25.0,7.0,22.25,14.5,True,56
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,12,20.0,2.0,2.0,12.0,11.6619037896906,True,30
30505,TAPON ROSCABLE MACHO DE 1/2,AAPP,2025,12,22.0,2.0,1.0,9.5,9.9498743710662,True,24
AAPP-005,"UNION UNIVERSAL 1/2""",AAPP,2025,12,2.0,1.0,6.0,2.75,2.217355782608345,True,7
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,12,2.0,3.0,5.0,3.75,1.3,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,12,9.0,4.0,4.0,6.0,2.12,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,12,4.0,3.0,1.0,3.25,1.48,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,12,4.0,2.0,10.0,4.75,3.11,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,12,8.0,8.0,2.0,6.25,2.49,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,12,9.0,3.0,6.0,5.25,2.49,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,12,10.0,2.0,7.0,6.0,2.92,True,15
30371,"TUBOS DE 4"" DESAGUE",AASS,2025,13,4.0,1.0,1.0,2.75,2.0615528128088303,True,7
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,13,24.0,20.0,2.0,12.0,11.6619037896906,True,30
30435,UNION ROSCABLE 3/4,AAPP,2025,13,6.0,4.0,2.0,4.5,1.9148542155126764,True,11
30451,"NEPLO 1/2"" X 6 CM",AAPP,2025,13,5.0,15.0,8.0,13.75,9.776672917374976,True,34
30491,"LLAVE DE PASO DE 1/2""",AAPP,2025,13,6.0,2.0,5.0,4.75,1.892969448600092,True,12
30505,TAPON ROSCABLE MACHO DE 1/2,AAPP,2025,13,106.0,22.0,2.0,32.75,49.78202486842013,True,82
30512,TEFLON 19MM*02MM*15M,AAPP,2025,13,2.0,5.0,4.0,6.0,4.83045891539648,True,15
AAPP-005,"UNION UNIVERSAL 1/2""",AAPP,2025,13,5.0,2.0,1.0,3.5,2.3804761428476167,True,9
AAPP-010,"NEPLO PERDIDO 1/2""",AAPP,2025,13,41.0,5.0,50.0,24.5,24.55605831561735,True,61
AAPP-011,"UNION DE 1/2""",AAPP,2025,13,16.0,2.0,2.0,6.0,6.733003292241384,True,15
AAPP-046,"TUBO DE 3/4"" DE AGUA FRÍA- ROSCABLE - PLOMA",AAPP,2025,13,2.0,6.0,7.0,4.25,2.6299556396765835,True,11
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,13,9.0,2.0,3.0,4.75,2.68,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,13,3.0,9.0,4.0,5.0,2.35,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,13,5.0,4.0,3.0,3.25,1.48,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,13,6.0,4.0,2.0,5.5,2.96,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,13,4.0,8.0,8.0,5.5,2.6,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,13,4.0,9.0,3.0,5.5,2.29,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,13,5.0,10.0,2.0,6.0,2.92,True,15
AAPP-010,"NEPLO PERDIDO 1/2""",AAPP,2025,14,100.0,41.0,5.0,49.0,39.16631205513228,True,122
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,14,3.0,9.0,2.0,4.25,2.77,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,14,6.0,3.0,9.0,5.5,2.29,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,14,3.0,5.0,4.0,3.75,0.83,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,14,5.0,6.0,4.0,4.25,1.48,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,14,1.0,4.0,8.0,5.25,2.95,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,14,5.0,4.0,9.0,5.25,2.28,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,14,9.0,5.0,10.0,6.5,3.2,True,15
30369,"TUBOS DE 2""",AASS,2025,15,6.0,1.0,2.0,3.0,2.1602468994692865,True,8
30371,"TUBOS DE 4"" DESAGUE",AASS,2025,15,6.0,4.0,1.0,3.0,2.449489742783178,True,8
30372,"CODOS DE 2"" X 45",AASS,2025,15,11.0,6.0,5.0,10.0,5.944184833375668,True,25
30373,"CODOS DE 2"" X90",AASS,2025,15,22.0,6.0,15.0,14.5,6.557438524302001,True,36
30377,"CODOS DE 4"" X 90",AASS,2025,15,2.0,2.0,4.0,3.0,1.1547005383792517,True,8
30378,"REJILLA CROMADA DE 2""",AASS,2025,15,14.0,3.0,5.0,7.25,4.7871355387816905,True,18
30388,"YEE 4""",AASS,2025,15,3.0,3.0,2.0,3.5,1.7320508075688774,True,9
30389,YEE 4A2,AASS,2025,15,5.0,3.0,5.0,3.75,1.5,True,9
30390,REDUCTORES DE 4 A 2,AASS,2025,15,3.0,13.0,2.0,4.75,5.560275772537426,True,12
30397,"SIFON DE 2""",AASS,2025,15,6.0,4.0,5.0,6.25,2.6299556396765835,True,16
AAPP-046,"TUBO DE 3/4"" DE AGUA FRÍA- ROSCABLE - PLOMA",AAPP,2025,15,2.0,2.0,6.0,4.25,2.6299556396765835,True,11
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,15,4.0,3.0,9.0,4.5,2.69,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,15,6.0,6.0,3.0,6.0,2.12,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,15,1.0,3.0,5.0,3.25,1.48,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,15,3.0,5.0,6.0,4.5,1.12,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,15,3.0,1.0,4.0,4.0,2.55,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,15,6.0,5.0,4.0,6.0,1.87,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,15,5.0,9.0,5.0,7.25,2.28,True,15
30372,"CODOS DE 2"" X 45",AASS,2025,16,9.0,11.0,6.0,7.75,2.7537852736430497,True,19
30375,CODO DE 3 X 90,AASS,2025,16,3.0,2.0,9.0,4.0,3.366501646120693,True,10
30378,"REJILLA CROMADA DE 2""",AASS,2025,16,16.0,14.0,3.0,9.5,6.454972243679029,True,24
30413,"CODO ROSCABLE 1/2"" X 90",AAPP,2025,16,5.0,16.0,25.0,13.25,9.17877987534291,True,33
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,16,7.0,24.0,20.0,13.25,10.436314802968845,True,33
30451,"NEPLO 1/2"" X 6 CM",AAPP,2025,16,11.0,5.0,15.0,9.75,4.272001872658765,True,24
30452,"NEPLO 1/2"" X 10 CM",AAPP,2025,16,6.0,2.0,12.0,6.25,4.193248541803041,True,16
30483,"SIFON DE 1 1/4"" ",AAPP,2025,16,4.0,5.0,2.0,3.0,1.8257418583505536,True,8
30491,"LLAVE DE PASO DE 1/2""",AAPP,2025,16,9.0,6.0,2.0,5.5,2.886751345948129,True,14
30512,TEFLON 19MM*02MM*15M,AAPP,2025,16,22.0,2.0,5.0,8.25,9.251126057585278,True,21
AAPP-005,"UNION UNIVERSAL 1/2""",AAPP,2025,16,4.0,5.0,2.0,3.0,1.8257418583505536,True,8
AAPP-011,"UNION DE 1/2""",AAPP,2025,16,17.0,16.0,2.0,9.25,8.381527307120104,True,23
